date,time,SFS_Reg_Uc,SFS_Meas_IfRel,SFS_Meas_UgRel,SFS_Meas_UfRel,SFS_Meas_IgRel,SFS_Meas_QRel,SFS_Meas_PRel,SFS_SM_iStatusSignals
20.09.2015,14:01:22.2355950,0.961021448,0.511565375,0.986357374,0.375882324,0.092404282,-0.000618754,0.091163038,34154
20.09.2015,14:01:22.2404918,1.020835887,0.511354662,0.986080649,0.394959873,0.09251801,-0.000618754,0.091163038,34154
20.09.2015,14:01:22.2454174,0.956299335,0.511355714,0.986357374,0.370821545,0.092461146,-0.000618754,0.091163038,34154
20.09.2015,14:01:22.2500758,1.002628509,0.511355714,0.986135994,0.370821545,0.092233689,-0.000515628,0.091059912,34154
20.09.2015,14:01:22.2549248,0.967277894,0.511351377,0.986302029,0.394285582,0.092063097,-0.000515628,0.090853661,34154
20.09.2015,14:01:22.2597246,0.971414883,0.511493681,0.986246684,0.389440994,0.091551319,-0.000515628,0.090441158,34154
20.09.2015,14:01:22.2645666,1.009583549,0.51163471,0.986135994,0.388432352,0.091266999,-0.000515628,0.090028656,34154
20.09.2015,14:01:22.2692956,0.965172481,0.51163471,0.986302029,0.388432352,0.090698357,-0.000515628,0.089616153,34154
20.09.2015,14:01:22.2742084,1.018426056,0.511729797,0.986080649,0.384699229,0.0904709,-0.000618754,0.089203651,34154
20.09.2015,14:01:22.2789034,0.957338445,0.51184241,0.986357374,0.381069622,0.090015987,-0.000515628,0.088791149,34154
20.09.2015,14:01:22.2837786,1.036329506,0.51184241,0.986025304,0.381069622,0.089561073,-0.000515628,0.088378646,34154
20.09.2015,14:01:22.2885128,0.977949855,0.511755056,0.986302029,0.382123951,0.089163024,-0.000412502,0.087966144,34154
20.09.2015,14:01:22.2933140,1.012379108,0.511704299,0.986135994,0.375168894,0.088651247,-0.000412502,0.087450516,34154
20.09.2015,14:01:22.2981696,1.0190935,0.511454724,0.986135994,0.390275511,0.088253197,-0.000515628,0.087038013,34154
20.09.2015,14:01:22.3029134,0.998978428,0.511454724,0.986191339,0.390275511,0.08774142,-0.000515628,0.086625511,34154
20.09.2015,14:01:22.3077564,1.027644849,0.511327378,0.986080649,0.369616095,0.087570827,-0.000618754,0.086213008,34154
20.09.2015,14:01:22.3123434,0.984242711,0.51135463,0.986246684,0.391131754,0.087115914,-0.000618754,0.085903632,34154
20.09.2015,14:01:22.3171876,1.050865386,0.511455809,0.985969959,0.389630773,0.086661,-0.000515628,0.085594255,34154
